Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
3,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),EfW Incineration,70.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,,447490,424684,The Planning Inspectorate - National Infrastructure,01/09/2016,20/12/2019,,operational
4,Energy Power Resources,Thetford Biomass Power Station,Biomass (dedicated),38.50,Operational,Operational,Norfolk,Eastern,England,,585300,286900,Breckland,,02/10/1998,,operational
14,Dalkia,Chilton Energy Plant,Biomass (dedicated),18.00,Operational,Operational,County Durham,North East,England,,428049,530414,County Durham,01/03/2010,12/03/2012,,operational
22,Double H Nurseries,Double H Nurseries Biomass Plant,Biomass (dedicated),1.50,Operational,Operational,Hampshire,South East,England,BH25 5NQ,422804,94625,New Forest,,15/12/2012,,operational
23,REACT Energy (Kedco),Newry Biomass Phase 1 (Gasification),Advanced Conversion Technologies,2.00,Operational,Operational,Co. Down,Northern Ireland,Northern Ireland,,117392,488885,"Newry, Mourne and Down",,27/06/2012,,operational
24,Balfour Beatty,Beckton STW Biodiesel Power Plant,Biomass (dedicated),8.00,Operational,Operational,London,London,England,IG11 0AD,545350,181950,Newham,,01/12/2010,,operational
26,Living Power (REG Bio-Power),Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,LS7 2HG,430213,435435,Leeds,,14/10/2011,,operational
28,Balcas,Invergordon Pellet Mill,Biomass (dedicated),5.00,Operational,Operational,Highland,Scotland,Scotland,,271390,870450,Highland,,01/11/2009,,operational
33,Balcas Timber,Balcas Timber Biomass CHP Plant,Biomass (dedicated),2.50,Operational,Operational,Co. Fermanagh,Northern Ireland,Northern Ireland,BT94 2FQ,31750,505000,Fermanagh and Omagh,,14/11/2005,,operational
34,Caledonian Paper,Caledonian Papermill,Biomass (dedicated),26.00,Operational,Operational,Strathclyde,Scotland,Scotland,KA11 5AT,233710,634940,North Ayrshire,,04/06/2009,,operational
35,UK Wood Recycling,Wilton International,Biomass (dedicated),35.20,Operational,Operational,Cleveland,North East,England,TS90 8WS,458500,519500,Redcar and Cleveland,08/11/2006,26/03/2007,,operational
37,Bioflame,South View Farm,Biomass (dedicated),2.00,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,,480945,486785,North Yorkshire,,01/10/2007,,operational
41,Norbord,Cowie Biomass Facility,Biomass (dedicated),15.00,Operational,Operational,Stirling,Scotland,Scotland,FK7 7BW,284085,688685,Stirling,,01/02/2008,,operational
44,TPS (UK),Thornton Power Station,Biomass (dedicated),9.00,Operational,Operational,Lancashire,North West,England,,334526,443323,Wyre,,15/06/2002,,operational
46,A C Shropshire Ltd,Green's Lodge Farm,Anaerobic Digestion,2.00,Operational,Operational,Leicestershire,East Midlands,England,LE67 4UY,446531,314260,North West Leicestershire,,14/05/2013,,operational
47,Iggesund Paperboard (Workington),Iggesund Paperboard CHP Plant,Biomass (dedicated),49.00,Operational,Operational,Cumbria,North West,England,CA14 1JX,300293,530977,Cumberland,,17/02/2013,,operational
49,Ancillary Components,Goosey Lodge Industrial Estate,Biomass (dedicated),16.00,Operational,Operational,Bedfordshire,Eastern,England,NN10 9LU,496208,236736,Central Bedfordshire,,31/12/2000,,operational
57,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),14.00,Operational,Operational,West Glamorgan,Wales,Wales,,277930,186880,Neath Port Talbot,01/11/2006,01/11/2009,,operational
58,Eccleshal Biomass,Eccleshall Biomass,Biomass (dedicated),2.60,Operational,Operational,Staffordshire,West Midlands,England,ST21 6JL,383491,330826,Stafford,01/05/2006,12/09/2007,,operational
62,EPR Scotland,Westfield Biomass Power Station,Biomass (dedicated),12.50,Operational,Operational,Fife,Scotland,Scotland,,319000,695100,Fife,,21/08/2000,,operational
64,Plymouth Hospital NHS Trust,Derriford Hospital,Biomass (dedicated),1.50,Operational,Operational,Devon,South West,England,PL6 8DH,249930,59564,Plymouth,10/07/2014,01/10/2014,,operational
66,Cofely,Rampton Hospital Energy Centre,Biomass (dedicated),1.20,Operational,Operational,Nottinghamshire,East Midlands,England,DN22 0PD,477542,377676,Bassetlaw,01/02/2015,29/05/2015,,operational
68,Oak Grove Renewables,Oak Grove Biomass Facility,Anaerobic Digestion,2.00,Operational,Operational,Norfolk,Eastern,England,NR10 4DU,626522,324286,North Norfolk,,01/03/2014,,operational
72,Lockwood Estates,Land at Grange Farm,Anaerobic Digestion,1.10,Operational,Operational,Lincolnshire,East Midlands,England,LN8 2DN,497563,383132,West Lindsey,01/12/2013,01/12/2014,,operational
78,European Development Corporation,Elean Business Park Biomass Plant,Biomass (dedicated),40.00,Operational,Operational,Cambridgeshire,Eastern,England,,545000,279900,East Cambridgeshire,,22/09/2000,,operational
82,South Western Power (NOVERA),Eye Biomass Plant,Biomass (dedicated),14.30,Operational,Operational,Suffolk,Eastern,England,,613200,275200,Mid Suffolk,,01/07/1992,,operational
87,Suez Energy Services,King's Yard,Biomass (dedicated),3.00,Operational,Operational,London,London,England,E15 2JH,538424,183769,Newham,01/05/2009,25/07/2012,,operational
106,"MVV Energie, Ridham Dock",Ridham CHP Plant,Biomass (dedicated),25.00,Operational,Operational,Kent,South East,England,ME9 8SR,592076,168421,Swale,08/04/2013,18/04/2016,,operational
113,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),40.00,Operational,Operational,West Glamorgan,Wales,Wales,,278940,186385,Neath Port Talbot,15/02/2015,01/12/2017,,operational
114,Merevale and Blyth Estates,Merevale & Blyth Estate (Biomass Plant),Biomass (dedicated),2.50,Operational,Operational,Warwickshire,West Midlands,England,CV9 2LA,428108,297173,North Warwickshire,28/08/2014,28/03/2015,,operational
115,Lynemouth Power,Lynemouth Power Station,Biomass (dedicated),420.00,Operational,Operational,Northumberland,North East,England,NE63 9YH,429850,590374,Northumberland,01/01/2016,21/11/2018,,operational
116,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 1 (FM1),EfW Incineration,68.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,WF11 8SQ,447490,424684,Wakefield,01/10/2012,03/08/2015,,operational
117,UYE (UK) / Veolia,Holbrook Community Renewable Energy Centre,Biomass (dedicated),6.50,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,S20 3GH,444564,381752,Sheffield,17/07/2015,24/04/2017,,operational
118,Alternative Use Group plc & Alchemy Farms,Riverside Industrial Estate Gasification Plant,Advanced Conversion Technologies,10.50,Operational,Operational,Lincolnshire,East Midlands,England,,533578,341831,Boston,04/04/2016,15/03/2018,,operational
120,Enviroparks Operations,Enviroparks Hirwaun Generation Site,Advanced Conversion Technologies,20.00,Operational,Operational,Mid Glamorgan,Wales,Wales,CF44 9YN,293857,206832,Rhondda Cynon Taf,18/02/2016,01/09/2019,,operational
121,Estover Energy,Cramlington CHP,Biomass (dedicated),27.70,Operational,Operational,Northumberland,North East,England,NE23 1JY,424308,578123,Northumberland,01/09/2015,15/03/2018,,operational
122,Private Developer,Tyrone Energy 1,Biomass (dedicated),2.10,Operational,Operational,Co. Tyrone,Northern Ireland,Northern Ireland,BT82 0HA,53147,564212,Derry City and Strabane,01/08/2011,06/08/2012,,operational
124,ERE Developments,Evermore Renewable Energy (CHP) / Lisahally Power Station,Biomass (dedicated),15.00,Operational,Operational,Co. Derry / Londonderry,Northern Ireland,Northern Ireland,BT47 6FL,64627,583737,Derry City and Strabane,19/12/2013,23/07/2015,,operational
127,Markley Group,Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),2.10,Operational,Operational,Gloucestershire,South West,England,GL2 2RN,380652,212428,Stroud,,19/04/2012,,operational
129,Heathrow Airport,Heathrow Airport Biomass CHP,Biomass (dedicated),1.80,Operational,Operational,London,London,England,,507124,174485,Hillingdon,01/06/2012,01/01/2013,,operational
130,REG Bio-Power,Bentwaters CHP,Biomass (dedicated),4.60,Operational,Operational,Suffolk,Eastern,England,,634882,253510,East Suffolk,,01/11/2010,,operational
132,GDF SUEZ ENERGY UK,SAICA Paper Mill,Biomass (dedicated),41.60,Operational,Operational,Greater Manchester,North West,England,,372220,392117,Trafford,,16/03/2012,,operational
139,Eco Sustainable Solutions,Eco Composting,Biomass (dedicated),3.20,Operational,Operational,Dorset,South West,England,BH23 6BG,410184,98499,"Bournemouth, Christchurch and Poole",28/10/2016,22/03/2017,,operational
140,Scottish Bio-Power,Rothes Bio-Plant,Biomass (dedicated),8.30,Operational,Operational,Grampian,Scotland,Scotland,,327767,849116,Moray,01/05/2011,16/04/2013,,operational
143,"Icon, EEA Holdings & 2OC consortium",Beckton Gas Pressure Reduction Station,Biomass (dedicated),19.00,Operational,Operational,London,London,England,,545005,181988,Newham,30/04/2013,30/03/2015,,operational
148,Cogen,Ince Bio Power,Advanced Conversion Technologies,21.50,Operational,Operational,Cheshire,North West,England,CH2 4N,345500,376500,Cheshire West and Chester,29/10/2015,30/04/2017,,operational
150,Eco2,Brigg Renewable Energy Plant ,Biomass (dedicated),40.00,Operational,Operational,Humberside,Yorkshire and Humber,England,DN20 9LT,498860,406109,North Lincolnshire,19/06/2014,23/02/2016,,operational
152,Tilbury Green Power,Tilbury Green Power,Biomass (dedicated),43.00,Operational,Operational,Essex,Eastern,England,RM18 7NU,563330,176110,Thurrock,15/04/2015,26/10/2017,,operational
155,RWE,Markinch Biomass CHP Plant,Biomass (dedicated),65.00,Operational,Operational,Fife,Scotland,Scotland,,327988,701561,Scottish Government (S36),01/06/2009,18/02/2014,,operational
161,Greencoat Capital,Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),42.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,S60 1DP,441740,391937,Rotherham,26/11/2015,28/02/2019,,operational
166,E.ON UK,Blackburn Meadows Biomass Plant,Biomass (dedicated),30.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,,440075,391650,Sheffield,01/11/2011,07/07/2014,,operational
