Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean,distance_to_boundary_m,within_5km_boundary_proxy,within_10km_boundary_proxy,proximity_score,capacity_score,preliminary_exposure_score,screening_category
3,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),EfW Incineration,70.0,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,,447490,424684,The Planning Inspectorate - National Infrastructure,01/09/2016,20/12/2019,,operational,191191.37295615484,False,False,0,2,2,Medium
4,Energy Power Resources,Thetford Biomass Power Station,Biomass (dedicated),38.5,Operational,Operational,Norfolk,Eastern,England,,585300,286900,Breckland,,02/10/1998,,operational,90187.54295698745,False,False,0,2,2,Medium
14,Dalkia,Chilton Energy Plant,Biomass (dedicated),18.0,Operational,Operational,County Durham,North East,England,,428049,530414,County Durham,01/03/2010,12/03/2012,,operational,184875.46123324044,False,False,0,2,2,Medium
22,Double H Nurseries,Double H Nurseries Biomass Plant,Biomass (dedicated),1.5,Operational,Operational,Hampshire,South East,England,BH25 5NQ,422804,94625,New Forest,,15/12/2012,,operational,29462.766557321727,False,False,0,0,0,Low
23,REACT Energy (Kedco),Newry Biomass Phase 1 (Gasification),Advanced Conversion Technologies,2.0,Operational,Operational,Co. Down,Northern Ireland,Northern Ireland,,117392,488885,"Newry, Mourne and Down",,27/06/2012,,operational,99471.3315142411,False,False,0,0,0,Low
24,Balfour Beatty,Beckton STW Biodiesel Power Plant,Biomass (dedicated),8.0,Operational,Operational,London,London,England,IG11 0AD,545350,181950,Newham,,01/12/2010,,operational,81957.36649833102,False,False,0,1,1,Low
26,Living Power (REG Bio-Power),Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2.0,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,LS7 2HG,430213,435435,Leeds,,14/10/2011,,operational,205408.49844607874,False,False,0,0,0,Low
28,Balcas,Invergordon Pellet Mill,Biomass (dedicated),5.0,Operational,Operational,Highland,Scotland,Scotland,,271390,870450,Highland,,01/11/2009,,operational,147042.5617152903,False,False,0,1,1,Low
33,Balcas Timber,Balcas Timber Biomass CHP Plant,Biomass (dedicated),2.5,Operational,Operational,Co. Fermanagh,Northern Ireland,Northern Ireland,BT94 2FQ,31750,505000,Fermanagh and Omagh,,14/11/2005,,operational,21690.258164972427,False,False,0,0,0,Low
34,Caledonian Paper,Caledonian Papermill,Biomass (dedicated),26.0,Operational,Operational,Strathclyde,Scotland,Scotland,KA11 5AT,233710,634940,North Ayrshire,,04/06/2009,,operational,196364.80579555433,False,False,0,2,2,Medium
