Region,asset_count,total_capacity_mw,mean_capacity_mw
Scotland,565,12382.83,22.311405405405406
South West,529,3907.9,7.500767754318618
Eastern,326,3378.04,10.49080745341615
South East,312,3468.95,11.226375404530744
East Midlands,268,2010.06,7.585132075471698
Wales,243,4549.0,19.03347280334728
North West,194,1572.56,8.147979274611398
Yorkshire and Humber,167,4408.32,26.717090909090906
West Midlands,145,1309.11,9.486304347826087
Northern Ireland,118,1453.5,12.317796610169491
North East,103,1319.61,12.937352941176469
Offshore,53,14713.5,277.6132075471698
London,35,388.62,11.776363636363637
